2.6651 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
126.7654 	EXP 	fixation: autoDraw = False
127.0495 	EXP 	grating: autoDraw = False
127.1855 	EXP 	window1: recordFrameIntervals = False
127.1874 	DATA 	Keypress: left
127.2006 	EXP 	fixation: autoDraw = False
127.2006 	EXP 	grating: autoDraw = False
127.2008 	EXP 	window1: recordFrameIntervals = False
128.2030 	EXP 	fixation: autoDraw = True
129.1891 	EXP 	grating: autoDraw = True
129.1891 	EXP 	grating: tex = 'sin'
129.2058 	EXP 	fixation: autoDraw = False
129.4902 	EXP 	grating: autoDraw = False
129.5410 	EXP 	window1: recordFrameIntervals = False
129.5427 	DATA 	Keypress: right
129.5562 	EXP 	fixation: autoDraw = False
129.5562 	EXP 	grating: autoDraw = False
129.5564 	EXP 	window1: recordFrameIntervals = False
130.5589 	EXP 	fixation: autoDraw = True
131.5455 	EXP 	grating: autoDraw = True
131.5455 	EXP 	grating: tex = 'sin'
131.5617 	EXP 	fixation: autoDraw = False
131.8464 	EXP 	grating: autoDraw = False
132.1662 	EXP 	window1: recordFrameIntervals = False
132.1681 	DATA 	Keypress: left
132.1800 	EXP 	fixation: autoDraw = False
132.1800 	EXP 	grating: autoDraw = False
132.1801 	EXP 	window1: recordFrameIntervals = False
133.1827 	EXP 	fixation: autoDraw = True
134.1687 	EXP 	grating: autoDraw = True
134.1687 	EXP 	grating: tex = 'sin'
134.1855 	EXP 	fixation: autoDraw = False
134.4702 	EXP 	grating: autoDraw = False
134.4905 	EXP 	window1: recordFrameIntervals = False
134.4927 	DATA 	Keypress: right
134.5033 	EXP 	fixation: autoDraw = False
134.5033 	EXP 	grating: autoDraw = False
134.5034 	EXP 	window1: recordFrameIntervals = False
135.5060 	EXP 	fixation: autoDraw = True
136.4918 	EXP 	grating: autoDraw = True
136.4918 	EXP 	grating: tex = 'sin'
136.5084 	EXP 	fixation: autoDraw = False
136.7928 	EXP 	grating: autoDraw = False
136.9278 	EXP 	window1: recordFrameIntervals = False
136.9295 	DATA 	Keypress: right
136.9429 	EXP 	fixation: autoDraw = False
136.9429 	EXP 	grating: autoDraw = False
136.9430 	EXP 	window1: recordFrameIntervals = False
137.9458 	EXP 	fixation: autoDraw = True
138.9316 	EXP 	grating: autoDraw = True
138.9316 	EXP 	grating: tex = 'sin'
138.9485 	EXP 	fixation: autoDraw = False
139.2327 	EXP 	grating: autoDraw = False
139.3012 	EXP 	window1: recordFrameIntervals = False
139.3029 	DATA 	Keypress: left
139.3158 	EXP 	fixation: autoDraw = False
139.3158 	EXP 	grating: autoDraw = False
139.3160 	EXP 	window1: recordFrameIntervals = False
140.3185 	EXP 	fixation: autoDraw = True
141.3049 	EXP 	grating: autoDraw = True
141.3049 	EXP 	grating: tex = 'sin'
141.3215 	EXP 	fixation: autoDraw = False
141.6058 	EXP 	grating: autoDraw = False
141.6236 	EXP 	window1: recordFrameIntervals = False
141.6252 	DATA 	Keypress: right
141.6386 	EXP 	fixation: autoDraw = False
141.6386 	EXP 	grating: autoDraw = False
141.6388 	EXP 	window1: recordFrameIntervals = False
142.6413 	EXP 	fixation: autoDraw = True
143.6278 	EXP 	grating: autoDraw = True
143.6278 	EXP 	grating: tex = 'sin'
143.6446 	EXP 	fixation: autoDraw = False
143.9288 	EXP 	grating: autoDraw = False
144.0304 	EXP 	window1: recordFrameIntervals = False
